position COMBINED_rate(cM/Mb) Genetic_Map(cM)
18844049 5.7460767146 0.9494018075
18844512 5.9562062794 0.9520622410
18845169 6.2682732412 0.9559754685
18845218 6.4229574895 0.9562826139
18845412 6.5113257150 0.9575286676
18845476 6.5282427929 0.9579453925
18846169 6.5284915513 0.9624694647
18846305 6.5284915513 0.9633573396
18846879 6.5275874275 0.9671046937
18846941 6.5207412337 0.9675094042
18847261 6.5163818103 0.9695960414
18847328 6.5004840073 0.9700326389
18847613 6.4446534244 0.9718852769
18848242 6.2240575519 0.9759389639
18848244 6.0597496683 0.9759514120
18848719 5.9505327245 0.9788297931
18850150 5.6676320361 0.9873450054
18850513 5.4929241611 0.9894023558
18851684 5.1003428911 0.9958345700
18851767 4.4985958517 0.9962578985
18851781 4.3611713508 0.9963208788
18851875 3.6017441511 0.9967308289
18851893 1.0276518873 0.9967956603
18855584 1.0268727316 1.0005887235
18856253 1.0237079222 1.0012757013
18858110 1.0259268241 1.0031767269
18859473 1.0282256351 1.0045750652
18860270 1.0370196929 1.0053945610
18861763 1.7012277159 1.0069428314
18862021 1.8138371919 1.0073817482
18862040 1.8701292231 1.0074162111
18862208 1.7976182533 1.0077303928
18862788 1.7586601740 1.0087730114
18863560 0.6030192678 1.0101306970
18863571 0.3264810916 1.0101373302
18866995 0.3221416511 1.0112552015
18872928 0.5812662716 1.0131664679
18873066 0.8416372605 1.0132466827
18874073 0.8413499119 1.0140942114
18874297 0.8416439529 1.0142826738
18874529 0.8411777185 1.0144779352
18875834 0.8860890926 1.0155756721
18875952 0.8866509753 1.0156802306
18876685 2.1920054604 1.0163301458
18883045 2.2482573669 1.0302713005
18883470 2.2727354725 1.0312268099
18883654 2.3014881854 1.0316449932
18885293 11.8898514129 1.0354171323
18885315 12.9707630758 1.0356787091
18886166 12.9707630758 1.0467168284
18886650 12.9689567409 1.0529946778
18886847 -1 1.0555495622
18889989 -1 1.0555495622
19108158 14.0051529915 1.0555495622
19108179 14.3622614493 1.0558436705
19109246 16.4602030568 1.0711682034
19109352 17.8094334852 1.0729129850
19109818 17.8129090654 1.0812121810
19109836 17.8146365157 1.0815328133
19110014 17.8146365157 1.0847038186
19110414 17.8146365157 1.0918296732
19110782 17.8146365157 1.0983854595
19111243 17.8126284918 1.1065980069
19112164 17.8015352857 1.1230034377
19112907 17.8015352857 1.1362299785
19113689 16.6863709323 1.1501507790
19115403 16.6882264874 1.1787512188
19115984 14.6877400570 1.1884470784
19116035 13.0407492603 1.1891961532
19116154 13.0407492603 1.1907480023
19118338 13.0407492603 1.2192289987
19118568 13.0407492603 1.2222283710
19119681 12.9065141718 1.2367427250
19120295 12.9065141718 1.2446673247
19120315 12.8271733468 1.2449254549
19120346 12.7396595268 1.2453230973
19126388 12.7396595268 1.3222961202
19127807 12.7407170463 1.3403736970
19129051 12.7407170463 1.3562231491
19131850 12.7504083830 1.3918844161
19133318 12.7503416495 1.4106020156
19135806 12.7515980388 1.4423248656
19139652 12.7550710342 1.4913675117
19146832 12.7641465502 1.5829489217
19149205 12.7769423270 1.6132382414
19153817 13.2370297590 1.6721654995
19155780 13.4061792236 1.6981497889
19155960 13.6013191743 1.7005629011
19157234 13.9719443568 1.7178909818
19157438 14.5031742370 1.7207412584
19159196 14.5031742370 1.7462378387
19160361 15.7131536363 1.7631340367
19160824 15.7854563863 1.7704092268
19161183 15.7854563863 1.7760762057
19162195 15.7854563863 1.7920510875
19162768 15.8194021996 1.8010961541
19163461 15.8194021996 1.8120589998
19164450 15.8198157687 1.8277043886
19164827 15.8197005830 1.8336684591
19165030 15.8192207549 1.8368798583
19165297 15.8155767689 1.8411035903
19166192 15.7873831626 1.8552585315
19166372 15.7873831626 1.8581002604
19166723 15.7525964341 1.8636416319
19167060 15.7525964341 1.8689502569
19168401 15.7053168409 1.8900744887
19168549 15.7053168409 1.8923988756
19168917 15.7053168409 1.8981784322
19169986 15.7053168409 1.9149674159
19171104 15.7053168409 1.9325259602
19171132 15.6853753415 1.9329657090
19172387 15.6790946761 1.9526508551
19174821 15.6790946761 1.9908137715
19174893 15.6570930876 1.9919426663
19175415 15.6570930876 2.0001156689
19175717 15.6570930876 2.0048441111
19177204 15.6095080252 2.0281262085
19177866 15.4714456420 2.0384597028
19178339 13.4285448475 2.0457776966
19181702 14.2185964910 2.0909378929
19181806 14.2185964910 2.0924166269
19182446 15.4221644226 2.1015165287
19183019 15.4221644226 2.1103534289
19183028 15.5057527177 2.1104922284
19183250 15.5084048962 2.1139345055
19183363 15.5132030638 2.1156869552
19183835 15.5132030638 2.1230091871
19186715 15.5229754511 2.1676872119
19187727 15.5398564370 2.1833964631
19187991 15.5785287567 2.1874989852
19188816 15.5785287567 2.2003512714
19189673 15.5785287567 2.2137020705
19190163 15.9842827463 2.2213355496
19190238 16.2452548050 2.2225343708
19190690 16.2452548050 2.2298772260
19190796 16.2561669165 2.2315992230
19190969 16.2503929676 2.2344115399
19191383 16.2503929676 2.2411392026
19191559 16.2451364196 2.2439992717
19193121 40.7717212695 2.2693741748
19193294 40.8213717972 2.2764276826
19193533 40.8213717972 2.2861839905
19193562 40.8213717972 2.2873678102
19193594 40.8213717972 2.2886740941
19193604 40.8213717972 2.2890823079
19194596 40.8213717972 2.3295771087
19194647 40.8213717972 2.3316589986
19195095 40.8213717972 2.3499469732
19195566 40.8213717972 2.3691738393
19195745 40.8213717972 2.3764808649
19201624 40.8213717972 2.6164697097
19202053 40.8213717972 2.6339820782
19202442 40.8213717972 2.6498615918
19203719 40.8213717972 2.7019904836
19204110 40.8213717972 2.7179516400
19204148 40.8213717972 2.7195028521
19205581 40.8213717972 2.7779998779
19207088 40.8213717972 2.8395176852
19207211 40.8213717972 2.8445387139
19208212 40.8213717972 2.8854009071
19208403 40.8213717972 2.8931977891
19208413 40.8213717972 2.8936060028
19209447 40.8213717972 2.9358153012
19209497 40.8213717972 2.9378563698
19217245 40.8213717972 3.2541403585
19217260 40.8213717972 3.2547526791
19217396 40.8213717972 3.2603043857
19218021 40.8213717972 3.2858177430
19221635 40.8213717972 3.4333461807
19224708 40.8213717972 3.5587902562
19226964 40.8213717972 3.6508832710
19227219 40.8213717972 3.6612927208
19228805 40.8213717972 3.7260354165
19244303 40.8213717972 4.3586850366
19254613 40.8213717972 4.7795533798
19257253 40.8213717972 4.8873218014
19257823 40.8213717972 4.9105899833
19265903 40.8213717972 5.2404266674
19268761 40.8213717972 5.3570941480
19268913 40.8213717972 5.3632989965
19269317 12.5040367939 5.3797908307
19271187 12.5232411628 5.4031733795
19272115 12.6641280712 5.4147949473
19272564 12.7644812110 5.4204811408
19272858 12.7100710991 5.4242338983
19272946 12.5095207826 5.4253523846
19273196 12.5095207826 5.4284797648
19275187 12.4556776963 5.4533862207
19276020 12.2139805502 5.4637618002
19278545 11.9171211099 5.4946021011
19285760 11.9151832490 5.5805841299
19288972 11.9147093386 5.6188556985
19295027 16.6023064580 5.6909992635
19295413 16.5688111007 5.6974077538
19295708 16.4708495074 5.7022955531
19296021 11.7998269492 5.7074509290
19307169 11.7998269492 5.8389953998
19309235 12.2206230657 5.8633738423
19311539 12.2206230657 5.8915301578
19312115 12.2206230657 5.8985692367
19312127 12.2206230657 5.8987158842
19312588 12.6584483773 5.9043495914
19313253 12.7098489262 5.9127674596
19313868 12.7074181854 5.9205840167
19317816 12.7064465157 5.9707529037
19318014 12.7107321846 5.9732687801
19320229 12.7221506585 6.0014230519
19321022 12.4655449389 6.0115117173
19322142 9.4954463598 6.0254731277
19322563 6.5397929164 6.0294707106
19324980 6.5288356052 6.0452773901
19325362 6.4866511302 6.0477714053
19326801 5.1017565397 6.0571056963
19331036 5.0618211011 6.0787116352
19336725 0.8514896735 6.1075083354
19342630 0.8518542660 6.1125363820
19349313 0.8625241635 6.1182293240
19353355 1.0993362676 6.1217156467
19353369 2.0834520114 6.1217310374
19354256 7.8652901898 6.1235790593
19355146 8.4781025393 6.1305791676
19355360 8.5491960297 6.1323934815
19355661 8.6406839136 6.1349667896
19355960 8.6760240172 6.1375503540
19356154 8.6770988986 6.1392335027
19356216 8.8871350989 6.1397714828
19356830 9.0059915499 6.1452281838
19358103 9.2578362743 6.1566928110
19358618 9.3091964347 6.1614605967
19358955 11.1299745411 6.1645977959
19358991 12.7811599774 6.1649984750
19359198 12.8089975570 6.1676441751
19359294 12.8067240529 6.1688738389
19359417 12.8032351977 6.1704490659
19359461 12.7593264461 6.1710124083
19359834 12.7571521380 6.1757716370
19360137 12.7553412307 6.1796370541
19360351 12.7553412307 6.1823666972
19360619 12.7505853531 6.1857851286
19360786 12.7434502857 6.1879144764
19360935 12.7271947428 6.1898132505
19360957 12.6957017585 6.1900932487
19361034 12.5962607721 6.1910708178
19361339 12.3614575069 6.1949126773
19361783 8.7757621664 6.2004011645
19361832 8.7553535605 6.2008311768
19362000 8.4940288621 6.2023020762
19363690 8.1813687436 6.2166569850
19363897 7.6714622321 6.2183505283
19364503 6.5295733027 6.2229994344
19364866 6.6143224824 6.2253696695
19365371 6.4268372568 6.2287099024
19365466 5.1795905939 6.2293204519
19365850 4.9761793003 6.2313094147
19366221 4.9321696229 6.2331555772
19366387 4.9076498826 6.2339743174
19366594 4.8997707282 6.2349902009
19366745 4.8940932770 6.2357300663
19368221 5.0617715976 6.2429537480
19368274 5.2264415444 6.2432220219
19368490 5.2780277776 6.2443509332
19368582 5.2782712316 6.2448365118
19368898 5.2915934896 6.2465044455
19369108 5.2941558736 6.2476156801
19369162 5.2977908160 6.2479015645
19369167 5.2970765293 6.2479280535
19370058 5.2938816458 6.2526477487
19370315 5.2070888690 6.2540082763
19370492 2.2503153968 6.2549299310
19370641 1.5679461131 6.2552652280
19371220 1.2599106714 6.2561730688
19371488 0.4214060695 6.2565107249
19378495 0.4276303412 6.2594635172
19379416 1.5065081528 6.2598573647
19379681 2.6618147051 6.2602565894
19381093 2.6587545923 6.2640150718
19383182 2.6068796718 6.2695692101
19383323 2.5653449547 6.2699367801
19383408 2.5675323162 6.2701548345
19383676 2.5627002562 6.2708429331
19385105 2.5194992230 6.2745050318
19385558 2.0100544663 6.2756463649
19386547 1.4996253105 6.2776343088
19389365 1.3029673554 6.2818602529
19389761 1.3020005367 6.2823762280
19393844 1.3020904278 6.2876922962
19395586 5.7140679151 6.2899605377
19396405 6.6908675952 6.2946403593
19396635 7.2642068281 6.2961792589
19396828 12.2518991029 6.2975812508
19396859 12.2587723511 6.2979610597
19397270 12.3895885671 6.3029994151
19397545 12.3900976831 6.3064065520
19398314 12.3895546278 6.3159345371
19398383 12.3829108907 6.3167894163
19398407 12.3701192438 6.3170866062
19398462 12.3675780533 6.3177669628
19399057 7.2009106341 6.3251256717
19402310 7.1119481126 6.3485502340
19403149 7.0606030217 6.3545171585
19403945 7.0608213839 6.3601373985
19407629 6.9893572927 6.3861494645
19412224 6.8760800983 6.4182655612
19412906 6.7478007337 6.4229550478
19414027 6.4624181508 6.4305193325
19414433 6.0569026659 6.4331430742
19415339 6.0931856198 6.4386306280
19415552 5.4378075130 6.4399284766
19415809 5.0261503481 6.4413259931
19415812 4.7374164015 6.4413410716
19415876 4.9025567116 6.4416442662
19417312 6.0544326603 6.4486843377
19418189 6.0403381293 6.4539940751
19420124 6.3485881649 6.4656821294
19420430 6.6379088071 6.4676247974
19420575 6.6436550685 6.4685872941
19420728 6.6510584380 6.4696037734
19420793 6.6452482506 6.4700360922
19421416 6.6504515763 6.4741760818
19421524 6.6534319737 6.4748943306
19422169 6.6592800624 6.4791857942
19422323 6.6598194350 6.4802113233
19422452 6.6614283140 6.4810704400
19422495 6.6666777295 6.4813568815
19422799 6.6666777295 6.4833835515
19423677 6.6666777295 6.4892368945
19423797 6.6647061942 6.4900368959
19423888 6.6647061942 6.4906433841
19424111 6.7127505082 6.4921296136
19424197 6.7127505082 6.4927069102
19424325 6.7364914156 6.4935661422
19424778 6.7691652284 6.4966177728
19424809 6.7824141815 6.4968276170
19424857 6.7836817859 6.4971531728
19424866 6.7845306632 6.4972142260
19424928 6.7560347185 6.4976348669
19425225 6.7566771955 6.4996414092
19425359 6.7554632590 6.5005468039
19425999 6.7561057526 6.5048703004
19426545 6.7561057526 6.5085591342
19426655 6.7667800235 6.5093023058
19426776 6.7727073030 6.5101210862
19426791 6.7863535668 6.5102226768
19427411 6.8673035316 6.5144302160
19427721 6.8685630341 6.5165590801
19427840 6.9499207507 6.5173764391
19427963 6.9770784808 6.5182312793
19428134 6.9950870320 6.5194243598
19429025 7.0126118817 6.5256569823
19429897 7.0265640626 6.5317719799
19429979 7.0305579426 6.5323481581
19430357 7.0425808080 6.5350057090
19430396 7.0545841224 6.5352803697
19430642 7.0559184252 6.5370157974
19430687 7.0692661776 6.5373333137
19432039 8.8576623900 6.5468909616
19432752 8.1286373577 6.5532064749
19432824 7.1110264912 6.5537917367
19433052 4.8273058244 6.5554130508
19458700 4.7997399136 6.6792237906
19458771 4.8002737099 6.6795645721
19464910 4.8002737099 6.7090334524
19464975 -1 6.7093454702
19465095 -1 6.7093454702
19465244 -1 6.7093454702
19465470 -1 6.7093454702
19465608 -1 6.7093454702
19788495 -1 6.7093454702
19798349 4.3657327004 6.7093454702
19798522 3.7405408061 6.7101007420
19798584 3.1077346224 6.7103326555
19798643 2.3944200055 6.7105160118
19799674 2.3059552464 6.7129846589
19799697 2.3046257069 6.7130376958
19800798 2.3202615720 6.7155750887
19800999 2.3379064083 6.7160414613
19801555 2.3015234042 6.7173413373
19801654 2.2750186554 6.7175691881
19801944 2.2631656886 6.7182289435
19801952 2.2400600442 6.7182470488
19803461 2.2200216193 6.7216272994
19803722 2.4732044363 6.7222067251
19804998 6.4469034802 6.7253625339
19805777 6.6108857753 6.7303846717
19806008 6.7989746228 6.7319117864
19806206 7.0611177928 6.7332579833
19806419 7.4068653201 6.7347620014
19806458 7.6705914855 6.7350508692
19806537 7.6718526337 6.7356568459
19807137 7.6713837181 6.7402599575
19807516 7.6684978338 6.7431674119
19807767 7.6740407579 6.7450922049
19808139 7.6740407579 6.7479469480
19809360 7.6407457877 6.7573169518
19810540 0.8894665906 6.7663330318
19810850 0.8807524158 6.7666087665
19811090 0.7217981213 6.7668201470
19816545 0.7968328165 6.7707575558
19816753 1.5124213796 6.7709232970
19816909 2.8460487687 6.7711592348
19817014 2.2252640520 6.7714580699
19817108 0.7725997761 6.7716672447
19819921 1.0134254452 6.7738405679
19820327 3.1187636650 6.7742520186
19820617 5.0377145383 6.7751564601
19820659 5.7578133265 6.7753680441
19820753 5.7216507750 6.7759092785
19820847 5.7219817063 6.7764471137
19820929 5.6855279152 6.7769163162
19821145 5.6860400334 6.7781443902
19821189 5.6809259881 6.7783945760
19821421 5.6496421153 6.7797125508
19821672 5.5557370821 6.7811306110
19821725 5.5557032346 6.7814250650
19821796 5.0399199062 6.7818195200
19821830 5.0352723797 6.7819908773
19821895 2.8813971970 6.7823181700
19822182 0.7507548210 6.7831451310
19822404 0.7329388502 6.7833117985
19822478 0.5309175437 6.7833660360
19826351 0.5505553083 6.7854222796
19827281 0.7606997962 6.7859342961
19829135 1.1236171398 6.7873446335
19829160 1.1308392245 6.7873727239
19830032 1.1781655684 6.7883588157
19830049 1.7271996849 6.7883788446
19830809 1.7043094371 6.7896915163
19831153 2.5743525222 6.7902777988
19831557 2.5844419159 6.7913178372
19831595 2.5830742234 6.7914160460
19831773 2.4970502681 6.7918758332
19831810 2.3920993667 6.7919682240
19832235 2.3914484601 6.7929848663
19832543 2.3698985443 6.7937214324
19832929 2.3610745063 6.7946362132
19832982 2.3515016744 6.7947613502
19833716 2.2980707649 6.7964873524
19834115 2.2269828370 6.7974042827
19835312 1.5352470075 6.8000699811
19835313 0.8493472731 6.8000715164
19835428 0.8221608762 6.8001691913
19835619 0.5359935202 6.8003262240
19840684 2.7554447441 6.8030410312
19841990 2.9439020907 6.8066396420
19843777 2.9436821659 6.8119003951
19843949 2.8595593701 6.8124067084
19845934 1.3476197654 6.8180829338
19846243 1.3466100433 6.8184993483
19847469 0.9727955986 6.8201502922
19852624 0.9751931852 6.8251650535
19852668 0.9819862148 6.8252079620
19855501 1.1867143828 6.8279899289
19855657 1.1854077307 6.8281750564
19856526 7.8159591485 6.8292051757
19864067 7.8201160449 6.8881453236
19866230 7.8671886719 6.9050602346
19867794 7.8768226159 6.9173645177
19867975 7.8810889456 6.9187902226
19868142 7.8810889456 6.9201063645
19868170 7.8810889456 6.9203270350
19868587 7.8817954288 6.9236134490
19868832 7.8817954288 6.9255444889
19869474 7.8800299046 6.9306046016
19869499 7.8800299046 6.9308016023
19869740 7.8800299046 6.9327006895
19870300 7.8800299046 6.9371135063
19870612 7.8801579479 6.9395720756
19871225 7.8801579479 6.9444026124
19871292 7.8801579479 6.9449305830
19871814 7.8813557688 6.9490440255
19872383 7.8813557688 6.9535285169
19872629 7.8825011761 6.9554673304
19873228 7.8825011761 6.9601889486
19873678 7.8825011761 6.9637360742
19874705 7.8825011761 6.9718314029
19875658 7.8951077997 6.9793434265
19875858 7.8951077997 6.9809224481
19876404 7.8984123212 6.9852331769
19876834 7.9020889750 6.9886294942
19877365 7.9100322959 6.9928255035
19877876 7.9224911583 6.9968675300
19878571 7.9224911583 7.0023736613
19879655 7.9390226545 7.0109616417
19880451 7.9390226545 7.0172811038
19880652 7.9390226545 7.0188768473
19881409 7.9438221550 7.0248866875
19882296 7.9387060873 7.0319328577
19883005 7.9387060873 7.0375614003
19883167 7.9387060873 7.0388474707
19883265 7.9300866770 7.0396254639
19883350 7.9300866770 7.0402995213
19884552 7.8655609521 7.0498314855
19885426 7.8655609521 7.0567059857
19886324 7.7744089947 7.0637692595
19886462 7.6825530637 7.0648421279
19887487 7.5891800137 7.0727167448
19888760 7.5832564481 7.0823777710
19894865 7.5733892131 7.1286735516
19910893 9.5101674857 7.2500598339
19911240 13.7754877666 7.2533598620
19911431 13.8379514757 7.2559909802
19911606 13.8283258257 7.2584126217
19911625 13.7767693490 7.2586753599
19911648 13.7337417668 7.2589922256
19911707 11.7559690433 7.2598025163
19912249 10.4936084678 7.2661742515
19912458 2.9032823199 7.2683674157
19915189 2.9059525352 7.2762962797
19915304 2.9134651782 7.2766304643
19915318 2.9244033776 7.2766712528
19915944 2.9239778697 7.2785019293
19916618 2.9211690960 7.2804726904
19917263 2.9201308530 7.2823568445
19921825 2.9236144776 7.2956784814
19921879 2.9240504376 7.2958363566
19922840 2.9262669627 7.2986463691
19923013 2.9287386028 7.2991526132
19923127 2.9297048896 7.2994864894
19923712 2.9296920456 7.3012003668
19923909 2.9298911316 7.3017775161
19924423 2.9288786232 7.3032834802
19925365 2.9284407039 7.3060424838
19925543 2.9228055158 7.3065637463
19928222 11.2274424405 7.3143939423
19928411 11.9843974238 7.3165159289
19928763 12.2329303439 7.3207344368
19928962 12.2223810663 7.3231687899
19928993 12.1978052563 7.3235476837
19928997 12.1978052563 7.3235964749
19929329 12.1978052563 7.3276461463
19929330 12.1462313390 7.3276583441
19929555 12.0651924765 7.3303912461
19929957 12.0651924765 7.3352414535
19930283 12.0608710621 7.3391747063
19930308 12.0580386404 7.3394762280
19931220 12.0580386404 7.3504731593
19931538 12.0580386404 7.3543076156
19933344 12.0580386404 7.3760844334
19933521 12.0592485254 7.3782187062
19933999 12.0592485254 7.3839830270
19934136 12.0592630644 7.3856351440
19934260 12.0587204926 7.3871304927
19935080 12.0587204926 7.3970186435
19936213 12.0535321727 7.4106811738
19936910 12.0444791918 7.4190824857
19938146 12.0441565854 7.4339694620
19938782 12.0274266266 7.4416295456
19939608 11.9515107111 7.4515642000
19942373 11.9483797772 7.4846101271
19942919 11.8569132693 7.4911339424
19943075 11.7135054639 7.4929836209
19943185 11.4599606336 7.4942721065
19944503 10.9830601760 7.5093763346
19945295 10.9830601760 7.5180749183
19946103 10.7665489322 7.5269492309
19946339 10.5416727780 7.5294901365
19946978 6.3233038895 7.5362262654
19947735 3.5165670771 7.5410130064
19948032 2.0582079212 7.5420574268
19949769 2.0488200582 7.5456325340
19950116 2.0396519482 7.5463434746
19950310 2.0307910214 7.5467391670
19950423 2.0277888632 7.5469686464
19950501 2.0197501515 7.5471268139
19953375 2.0176701079 7.5529315759
19954899 2.0156970536 7.5560065051
19956868 2.0156182643 7.5599754126
19956902 2.0155512528 7.5600439436
19957906 2.0185247245 7.5620675571
19957987 2.0197112034 7.5622310576
19963698 2.0867342114 7.5737656283
19964029 2.1651945737 7.5744563373
19964223 2.1791019188 7.5748763851
19964541 2.1788862482 7.5755693395
19964632 2.1765668860 7.5757676181
19965920 2.1245390402 7.5785710363
19966466 2.0817122932 7.5797310346
19967366 2.0051343895 7.5816045756
19969867 2.0022380387 7.5866194168
19970467 1.9996422500 7.5878207596
19970474 2.0016860529 7.5878347571
19971129 1.9998051746 7.5891458614
19971289 1.9974141888 7.5894658303
19973056 1.9970349524 7.5929952611
19976280 1.9982793472 7.5994337018
19977533 1.9990889879 7.6019375458
19981113 2.0023350458 7.6090942844
19982036 2.0081230454 7.6109424397
19982638 2.0080375163 7.6121513297
19983133 2.0262371469 7.6131453083
19983256 2.0327725466 7.6133945355
19983342 2.0318022786 7.6135693539
19984501 2.0344637589 7.6159242128
19984641 2.0319160468 7.6162090377
19985717 1.9974173842 7.6183953794
19988041 4.9084346865 7.6230373774
19988127 8.4477176534 7.6234595027
19988242 9.5011053683 7.6244309903
19989036 9.5312900824 7.6319748679
19989202 9.5312900824 7.6335570621
19989294 9.5298060013 7.6344339408
19989345 9.5317396132 7.6349199609
19989504 9.5209413627 7.6364355075
19989603 9.5194152779 7.6373780807
19989883 6.4709749621 7.6400435170
19990535 6.4709749621 7.6442625926
19990861 5.8973448322 7.6463721305
19990921 4.4997347463 7.6467259712
19991382 1.2653653218 7.6488003489
19996120 1.2728537632 7.6547956498
19998230 1.2744084752 7.6574813712
19998629 1.2732209381 7.6579898602
20002006 1.2727097234 7.6622895273
20004234 1.2730886291 7.6651251246
20005562 1.2728055914 7.6668157863
20008195 1.2737084095 7.6701670834
20010495 1.2751456626 7.6730966127
20012686 1.2776827936 7.6758904569
20016158 1.2831954820 7.6803265715
20016445 1.2882388519 7.6806948486
20017748 1.2928911587 7.6823734239
20018574 1.2937265616 7.6834413520
20020107 1.3048251249 7.6854246348
20021431 1.3053743071 7.6871522232
20021704 1.3180771014 7.6875085904
20024162 1.3186992808 7.6907484239
20024247 1.3312447782 7.6908605134
20027469 1.3369252467 7.6951497841
20028917 1.3367029878 7.6970856518
20028931 1.3414084457 7.6971043657
20042468 1.3408672773 7.7152630118
20042978 1.3397627542 7.7159468541
20042995 1.3351850429 7.7159696301
20044660 1.3320830915 7.7181927132
20045333 1.3267134508 7.7190892051
20053967 1.3236983115 7.7305440490
20059872 1.3254084455 7.7383604875
20068512 1.5092818604 7.7498120165
20072731 2.5811307355 7.7561796767
20073181 3.5043706280 7.7573411855
20074529 3.6765597929 7.7620650771
20075237 3.7152777438 7.7646680815
20077482 3.7187230532 7.7730088800
20077554 3.7297448180 7.7732766280
20078784 3.7303723337 7.7778642142
20079140 3.7335981978 7.7791922267
20080480 3.7382286971 7.7841952483
20081118 3.7470913307 7.7865802382
20082422 3.7546764607 7.7914664453
20082937 3.7576835424 7.7934001037
20088190 3.7560615727 7.8131392153
20089383 -1 7.8176201968
20223484 -1 7.8176201968
20303106 3.4673031985 7.8176201968
20306549 3.3581038917 7.8295581217
20314760 3.3599757809 7.8571315128
20314843 3.3920468212 7.8574103908
20316937 4.0656899976 7.8645133368
20317047 5.5044732187 7.8649605627
20317525 7.5834372952 7.8675917009
20318049 7.6184631390 7.8715654220
20318185 7.6203577633 7.8726015330
20320065 7.5973071507 7.8869278056
20321135 7.5973071507 7.8950569243
20322358 7.5644525834 7.9043484309
20323248 7.4680004467 7.9110807937
20323288 7.3578403490 7.9113795137
20324111 7.3560486502 7.9174350163
20324251 7.0829813562 7.9184648631
20327915 6.9379500322 7.9444169068
20329239 6.9369111865 7.9536027527
20330244 3.3262271882 7.9605743484
20331340 3.2755228552 7.9642198934
20333539 0.8376428384 7.9714227682
20335431 0.7803502327 7.9730075884
20335459 0.7355342025 7.9730294382
20335630 0.7311862644 7.9731552146
20335847 0.7351519150 7.9733138820
